"date","po_number","item_name","quantity"
"2022-01-01","Previous Inventory","114 x 500","1"
"2022-01-01","Previous Inventory","114x500 white/tan","12"
"2022-01-01","Previous Inventory","144x500","20"
"2022-01-01","Previous Inventory","120x1000CF (U-Fold)","41"
"2022-01-01","Previous Inventory","108""LF","80"
"2022-01-01","Previous Inventory","108""CF2","96"
"2022-01-01","Previous Inventory","101""","12"
"2022-01-01","Previous Inventory","96X500wt (Tan)","161"
"2022-01-01","Previous Inventory","96X1000 white/black","347"
"2022-01-01","Previous Inventory","96X500 white/black","219"
"2022-01-01","Previous Inventory","80""","235"
"2022-01-01","Previous Inventory","72""","133"
"2022-01-01","Previous Inventory","60""","359"
"2022-01-01","Previous Inventory","48""","76"
"2022-01-03","5571","96X1000 white/black","-16"
"2022-01-03","5572","120x1000CF (U-Fold)","-1"
"2022-01-04","Anita Inventory","114 x 500","119"
"2022-01-04","Anita Inventory","101""","125"
"2022-01-04","Anita Inventory","96X500 white/black","116"
"2022-01-05","5575","120x1000CF (U-Fold)","-12"
"2022-01-06","5577","96X500 white/black","-1"
"2022-01-10","5578","120x1000CF (U-Fold)","-6"
"2022-01-12","5579","72""","-5"
"2022-01-12","5580","96X1000 white/black","-5"
"2022-01-12","5581","120x1000CF (U-Fold)","-10"
"2022-01-12","5582","144x500","-6"
"2022-01-13","Abbey inventory","114x500 white/tan","60"
"2022-01-13","Abbey inventory","120x1000CF (U-Fold)","120"
"2022-01-13","Abbey inventory","120""x1000CF White/Tan","60"
"2022-01-13","Abbey inventory","108""CF","24"
"2022-01-13","5583","114x500 white/tan","-30"
"2022-01-13","5584","108""LF","-25"
"2022-01-13","5585","96X500 white/black","-8"
"2022-01-17","5587","108""LF","-25"
"2022-01-17","5588","96X500 white/black","-20"
"2022-01-17","5589","96X1000 white/black","-12"
"2022-01-18","5590","96X1000 white/black","-4"
"2022-01-18","5591","101""","-16"
"2022-01-21","5593","120x1000CF (U-Fold)","-10"
"2022-01-21","5594","120x1000CF (U-Fold)","-2"
"2022-01-21","OKS Inventory","144x500","192"
"2022-01-26","5596","96X1000 white/black","-5"
"2022-01-26","5597","114 x 500","-10"
"2022-01-26","5598","120x1000CF (U-Fold)","-10"
"2022-01-31","5601","144x500","-12"
"2022-01-31","5601","120x1000CF (U-Fold)","-10"
"2022-01-31","5602","101""","-2"
"2022-01-31","5602","60""","-4"
"2022-01-31","5603","144x500","-20"
"2022-01-31","5604","120x1000CF (U-Fold)","-12"
"2022-01-31","5604","96X500 white/black","-2"
"2022-02-01","5607","120x1000CF (U-Fold)","-6"
"2022-02-01","5608","120x1000CF (U-Fold)","-4"
"2022-02-02","5609","80""","-18"
"2022-02-02","5611","48""","-10"
"2022-02-03","5613","96X500 white/black","-8"
"2022-02-03","5613","80""","-3"
"2022-02-03","5613","72""","-12"
"2022-02-03","5614","96X500 white/black","-2"
"2022-02-04","5615","96X1000 white/black","-2"
"2022-02-04","5616","120x1000CF (U-Fold)","-6"
"2022-02-07","5617","96X500 white/black","-1"
"2022-02-07","5624","80""","-2"
"2022-02-09","5627","144x500","-2"
"2022-02-10","5631","144x500","-2"
"2022-02-10","5632","96X1000 white/black","-2"
"2022-02-11","5633","96X1000 white/black","-10"
"2022-02-15","5635","120x1000CF (U-Fold)","-2"
"2022-02-15","5636","108""CF2","-2"
"2022-02-15","5636","96X1000 white/black","-1"
"2022-02-17","5638","120x1000CF (U-Fold)","-6"
"2022-02-17","5639","96X1000 white/black","-4"
"2022-02-21","5640","96X500 white/black","-6"
"2022-02-21","5642","120x1000CF (U-Fold)","-1"
"2022-02-22","5643","120x1000CF (U-Fold)","-10"
"2022-02-22","5644","114x500 white/tan","-30"
"2022-02-24","5647","144x500","-20"
"2022-02-24","5648","72""","-25"
